code_system,medcode_id,description
CPRD_medcode,318779019,"Open fracture of humerus, shaft or unspecified part NOS"
CPRD_medcode,318769016,"Open fracture of humerus, upper epiphysis"
CPRD_medcode,318893017,Open fracture of lower end of forearm
CPRD_medcode,5510031000006116,Open fracture of lower end of humerus
CPRD_medcode,3932001000006116,Open fracture of lower end of radius AND ulna 10
CPRD_medcode,318772011,Open fracture of proximal humerus not otherwise specified
CPRD_medcode,318764014,"Open fracture of proximal humerus, anatomical neck"
CPRD_medcode,318762013,"Open fracture of proximal humerus, unspecified part"
CPRD_medcode,507904017,"Open fracture of radius and ulna, lower end"
CPRD_medcode,2878911000006117,Open fracture of shaft of humerus
CPRD_medcode,402856014,Open fracture of the distal humerus
CPRD_medcode,318876017,"Open fracture of ulna, lower epiphysis"
CPRD_medcode,318875018,"Open fracture of ulna, styloid process"
CPRD_medcode,318771016,"Open fracture proximal humerus, four part"
CPRD_medcode,318767019,"Open fracture proximal humerus, greater tuberosity"
CPRD_medcode,318768012,"Open fracture proximal humerus, head"
CPRD_medcode,318763015,"Open fracture proximal humerus, neck"
CPRD_medcode,318770015,"Open fracture proximal humerus, three part"
CPRD_medcode,318888015,Open fracture radial styloid
CPRD_medcode,1495503015,"Open fracture radius and ulna, distal"
CPRD_medcode,4849161000006119,Open fracture subluxation of the wrist
CPRD_medcode,318881014,Open Galeazzi fracture
CPRD_medcode,318891015,Open intra-articular fracture of distal radius
CPRD_medcode,3894801000006117,Open reduction of fracture of humerus
CPRD_medcode,7642231000006112,Open reduction of fracture of humerus and internal fixation using Kirschner wire
CPRD_medcode,3894811000006119,Open reduction of fracture of humerus without internal fixation
CPRD_medcode,2867301000006113,Open reduction of fracture of radius and ulna
CPRD_medcode,43041000006111,Open reduction of fracture of spine and excision of facet of spine
CPRD_medcode,276481010,Open reduction of fracture of spine NEC
CPRD_medcode,4353811000006112,Open reverse Colles' fracture
CPRD_medcode,52291000006115,Open Smith's fracture
CPRD_medcode,3513461000006116,Open supracondylar fracture of humerus
CPRD_medcode,49851000006119,Open volar Barton fracture-dislocation
CPRD_medcode,318882019,Open volar Barton's fracture
CPRD_medcode,312157010,Osteoporosis of disuse with pathological fracture
CPRD_medcode,40871000006119,Osteoporosis with pathological fracture of cervical vertebrae
